Athlete,Nation,Sport,First Medal Year,Last Medal Year,Games,Gender,Gold,Silver,Bronze,Total
Galina Kulakova,Soviet Union,Cross-country skiing,1972,1980,Winter,F,4.0,2.0,2.0,8.0
Kjetil André Aamodt,Norway,Alpine skiing,1992,2006,Winter,M,4.0,2.0,2.0,8.0
Sven Fischer,Germany,Biathlon,1994,2006,Winter,M,4.0,2.0,2.0,8.0
Inge de Bruijn,Netherlands,Swimming,2000,2004,Summer,F,4.0,2.0,2.0,8.0
Jason Lezak,United States,Swimming,2000,2012,Summer,M,4.0,2.0,2.0,8.0
Giovanna Trillini,Italy,Fencing,1992,2008,Summer,F,4.0,1.0,3.0,8.0
Cate Campbell,Australia,Swimming,2008,2020,Summer,F,4.0,1.0,3.0,8.0
Katalin Kovács,Hungary,Canoeing,2000,2012,Summer,F,3.0,5.0,0.0,8.0
Roger Ducret,France,Fencing,1920,1928,Summer,M,3.0,4.0,1.0,8.0
Philippe Cattiau,France,Fencing,1920,1936,Summer,M,3.0,4.0,1.0,8.0
Karin Enke,East Germany,Speed skating,1980,1988,Winter,F,3.0,4.0,1.0,8.0
Gunda Niemann-Stirnemann,Germany,Speed skating,1992,1998,Winter,F,3.0,4.0,1.0,8.0
Petria Thomas,Australia,Swimming,1996,2004,Summer,F,3.0,4.0,1.0,8.0
Shelly-Ann Fraser-Pryce,Jamaica,Athletics,2008,2020,Summer,F,3.0,4.0,1.0,8.0
Veronica Campbell-Brown,Jamaica,Athletics,2000,2016,Summer,F,3.0,3.0,2.0,8.0
Shirley Babashoff,United States,Swimming,1972,1976,Summer,F,2.0,6.0,0.0,8.0
Susie O'Neill,Australia,Swimming,1992,2000,Summer,F,2.0,4.0,2.0,8.0
Eugen Mack,Switzerland,Gymnastics,1928,1936,Summer,M,2.0,4.0,2.0,8.0
Margit Korondi,Hungary,Gymnastics,1952,1956,Summer,F,2.0,2.0,4.0,8.0
Sofia Muratova,Soviet Union,Gymnastics,1956,1960,Summer,F,2.0,2.0,4.0,8.0
Dmitri Sautin,Unified Team  Russia,Diving,1992,2008,Summer,M,2.0,2.0,4.0,8.0
Apolo Ohno,United States,Short track speed skating,2002,2010,Winter,M,2.0,2.0,4.0,8.0
Tiril Eckhoff,Norway,Biathlon,2014,2022,Winter,F,2.0,2.0,4.0,8.0
Svetlana Romashina,Russia  ROC,Synchronized swimming,2008,2020,Summer,F,7.0,0.0,0.0,7.0
Caeleb Dressel,United States,Swimming,2016,2020,Summer,M,7.0,0.0,0.0,7.0
Chris Hoy,Great Britain,Cycling,2000,2012,Summer,M,6.0,1.0,0.0,7.0
Natalie Geisenberger,Germany,Luge,2010,2022,Winter,F,6.0,0.0,1.0,7.0
Pál Kovács,Hungary,Fencing,1936,1960,Summer,M,6.0,0.0,1.0,7.0
Yukio Endō,Japan,Gymnastics,1960,1968,Summer,M,5.0,2.0,0.0,7.0
Aaron Peirsol,United States,Swimming,2000,2008,Summer,M,5.0,2.0,0.0,7.0
Martin Fourcade,France,Biathlon,2010,2018,Winter,M,5.0,2.0,0.0,7.0
Willis Augustus Lee,United States,Shooting,1920,1920,Summer,M,5.0,1.0,1.0,7.0
Clas Thunberg,Finland,Speed skating,1924,1928,Winter,M,5.0,1.0,1.0,7.0
Hans Günter Winkler,United Team of Germany  West Germany,Equestrian,1956,1976,Summer,M,5.0,1.0,1.0,7.0
Tom Jager,United States,Swimming,1984,1992,Summer,M,5.0,1.0,1.0,7.0
Krisztina Egerszegi,Hungary,Swimming,1988,1996,Summer,F,5.0,1.0,1.0,7.0
Larisa Lazutina,Unified Team  Russia,Cross-country skiing,1992,1998,Winter,F,5.0,1.0,1.0,7.0
Dana Vollmer,United States,Swimming,2004,2016,Summer,F,5.0,1.0,1.0,7.0
Wu Minxia,China,Diving,2004,2016,Summer,F,5.0,1.0,1.0,7.0
Johannes Høsflot Klæbo,Norway,Cross-country skiing,2018,2022,Winter,M,5.0,1.0,1.0,7.0
Ivan Patzaichin,Romania,Canoeing,1968,1984,Summer,M,4.0,3.0,0.0,7.0
Einar Liberg,Norway,Shooting,1908,1924,Summer,M,4.0,2.0,1.0,7.0
Ivar Ballangrud,Norway,Speed skating,1928,1936,Winter,M,4.0,2.0,1.0,7.0
Charles Daniels,United States,Swimming,1904,1908,Summer,M,4.0,1.0,2.0,7.0
Lloyd Spooner,United States,Shooting,1920,1920,Summer,M,4.0,1.0,2.0,7.0
Simone Biles,United States,Gymnastics,2016,2020,Summer,F,4.0,1.0,2.0,7.0
Kosuke Kitajima,Japan,Swimming,2004,2012,Summer,M,4.0,1.0,2.0,7.0
Libby Trickett,Australia,Swimming,2004,2012,Summer,F,4.0,1.0,2.0,7.0
Vilhelm Carlberg,Sweden,Shooting,1908,1924,Summer,M,3.0,4.0,0.0,7.0
Kōhei Uchimura,Japan,Gymnastics,2008,2016,Summer,M,3.0,4.0,0.0,7.0
Veikko Hakulinen,Finland,Cross-country skiing,1952,1960,Winter,M,3.0,3.0,1.0,7.0
Grant Hackett,Australia,Swimming,2000,2008,Summer,M,3.0,3.0,1.0,7.0
Kati Wilhelm,Germany,Biathlon,2002,2010,Winter,F,3.0,3.0,1.0,7.0
Emily Seebohm,Australia,Swimming,2008,2020,Summer,F,3.0,3.0,1.0,7.0
Eero Mäntyranta,Finland,Cross-country skiing,1960,1968,Winter,M,3.0,2.0,2.0,7.0
Irena Szewińska,Poland,Athletics,1964,1976,Summer,F,3.0,2.0,2.0,7.0
Agneta Andersson,Sweden,Canoeing,1984,1996,Summer,F,3.0,2.0,2.0,7.0
Pieter van den Hoogenband,Netherlands,Swimming,2000,2004,Summer,M,3.0,2.0,2.0,7.0
Martina Sáblíková,Czech Republic,Speed skating,2010,2022,Winter,F,3.0,2.0,2.0,7.0
Eric Frenzel,Germany,Nordic combined,2010,2022,Winter,M,3.0,2.0,2.0,7.0
Marte Olsbu Røiseland,Norway,Biathlon,2018,2022,Winter,F,3.0,2.0,2.0,7.0
Shirley Strickland,Australia,Athletics,1948,1956,Summer,F,3.0,1.0,3.0,7.0
Simona Amânar,Romania,Gymnastics,1996,2000,Summer,F,3.0,1.0,3.0,7.0
