No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
250,Li Xiaoshuang,China,Gymnastics,1992-1996,Summer,M,2.0,3.0,1.0,6.0
250,Shuji Tsurumi,Japan,Gymnastics,1960-1964,Summer,M,2.0,3.0,1.0,6.0
250,Veronica Cochela,Romania  Romania,Rowing,1988-2000,Summer,F,2.0,3.0,1.0,6.0
250,Wang Yifu,China,Shooting,1984-2004,Summer,M,2.0,3.0,1.0,6.0
250,Albert Helgerud,Norway,Shooting,1908-1920,Summer,M,2.0,3.0,1.0,6.0
250,Michael Klim,Australia,Swimming,1996-2004,Summer,M,2.0,3.0,1.0,6.0
250,Sergei Tchepikov,Soviet Union  Unified Team  Russia,Biathlon,1988-2006,Winter,M,2.0,3.0,1.0,6.0
250,Wolfgang Hoppe,East Germany  Germany,Bobsleigh,1984-1994,Winter,M,2.0,3.0,1.0,6.0
250,Claudia Nystad,Germany,Cross-country skiing,2002-2014,Winter,F,2.0,3.0,1.0,6.0
250,Lee Seung-hoon,South Korea,Speed skating,2010-2022,Winter,M,2.0,3.0,1.0,6.0
264,Josef Neckermann,United Team of Germany  West Germany,Equestrian,1960-1972,Summer,M,2.0,2.0,2.0,6.0
264,Philippe Riboud,France,Fencing,1980-1988,Summer,M,2.0,2.0,2.0,6.0
264,Robert Garrett,United States,Athletics,1896-1900,Summer,M,2.0,2.0,2.0,6.0
264,Eugenio Monti,Italy,Bobsleigh,1956-1968,Winter,M,2.0,2.0,2.0,6.0
268,Mark Todd,New Zealand,Equestrian,1984-2012,Summer,M,2.0,1.0,3.0,6.0
268,Lavinia Miloșovici,Romania,Gymnastics,1992-1996,Summer,F,2.0,1.0,3.0,6.0
268,Daniela Hunger,East Germany  Germany,Swimming,1988-1992,Summer,F,2.0,1.0,3.0,6.0
268,Armin Zöggeler,Italy,Luge,1994-2014,Winter,M,2.0,1.0,3.0,6.0
268,Anna Meares,Australia,Cycling,2004-2016,Summer,F,2.0,1.0,3.0,6.0
268,Johan Olsson,Sweden,Cross-country skiing,2006-2014,Winter,M,2.0,1.0,3.0,6.0
274,Duncan Scott,Great Britain,Swimming,2016-2020,Summer,M,1.0,5.0,0.0,6.0
275,Hrihoriy Misyutin,Unified Team  Ukraine,Gymnastics,1992-1996,Summer,M,1.0,4.0,1.0,6.0
275,Kateřina Neumannová,Czech Republic,Cross-country skiing,1998-2006,Winter,F,1.0,4.0,1.0,6.0
277,Olga Tass,Hungary,Gymnastics,1948-1956,Summer,F,1.0,3.0,2.0,6.0
277,Bode Miller,United States,Alpine skiing,2002-2014,Winter,M,1.0,3.0,2.0,6.0
279,Raimondo D'Inzeo,Italy,Equestrian,1956-1972,Summer,M,1.0,2.0,3.0,6.0
279,Pavel Kolobkov,Soviet Union  Unified Team  Russia,Fencing,1988-2004,Summer,M,1.0,2.0,3.0,6.0
279,Cindy Klassen,Canada,Speed skating,2002-2006,Winter,F,1.0,2.0,3.0,6.0
282,Clara Hughes,Canada,Cycling Speed skating,1996-2010,Summer Winter,F,1.0,1.0,4.0,6.0
282,Mika Myllylä,Finland,Cross-country skiing,1994-1998,Winter,M,1.0,1.0,4.0,6.0
282,Anja Pärson,Sweden,Alpine skiing,2002-2010,Winter,F,1.0,1.0,4.0,6.0
282,Kyle Chalmers,Australia,Swimming,2016-2020,Summer,M,1.0,1.0,4.0,6.0
282,Andre De Grasse,Canada,Athletics,2016-2020,Summer,M,1.0,1.0,4.0,6.0
287,Daniel Revenu,France,Fencing,1964-1976,Summer,M,1.0,0.0,5.0,6.0
288,László Cseh,Hungary,Swimming,2004-2016,Summer,M,0.0,4.0,2.0,6.0
289,Frank Beaurepaire,Australasia  Australia,Swimming,1908-1924,Summer,M,0.0,3.0,3.0,6.0
290,Piero D'Inzeo,Italy,Equestrian,1956-1972,Summer,M,0.0,2.0,4.0,6.0
290,Roald Larsen,Norway,Speed skating,1924-1928,Winter,M,0.0,2.0,4.0,6.0
290,Rintje Ritsma,Netherlands,Speed skating,1994-2006,Winter,M,0.0,2.0,4.0,6.0
290,Dimitrij Ovtcharov,Germany,Table tennis,2008-2020,Summer,M,0.0,2.0,4.0,6.0
294,Harri Kirvesniemi,Finland,Cross-country skiing,1980-1998,Winter,M,0.0,0.0,6.0,6.0
